name,country,city,tuition_min,tuition_max,acceptance_rate,available_on_applyboard,available_on_edvoy,available_on_studygroup,available_on_adventus,applyboard_commission,edvoy_commission,studygroup_commission,adventus_commission,min_gpa,min_ielts,popular,ranking
"University of Toronto",Canada,Toronto,30000,50000,43.00,1,1,0,1,1500,1200,0,1400,3.0,6.5,1,18
"McGill University",Canada,Montreal,25000,45000,46.00,1,1,0,1,1500,1200,0,1400,3.2,6.5,1,31
"University of British Columbia",Canada,Vancouver,28000,48000,52.00,1,1,0,1,1500,1200,0,1400,3.0,6.5,1,34
"York University",Canada,Toronto,20000,35000,27.00,1,1,0,1,1800,1400,0,1600,2.8,6.0,1,401
"University of Waterloo",Canada,Waterloo,35000,55000,53.00,1,1,0,1,1500,1200,0,1400,3.3,6.5,1,166
"Ryerson University",Canada,Toronto,22000,38000,80.00,1,1,0,1,2000,1600,0,1800,2.7,6.0,1,801
"Concordia University",Canada,Montreal,18000,32000,75.00,1,1,0,1,2000,1500,0,1700,2.5,6.0,1,711
"University of Alberta",Canada,Edmonton,24000,42000,58.00,1,1,0,1,1600,1300,0,1500,3.0,6.5,1,110
"University of Ottawa",Canada,Ottawa,26000,44000,41.00,1,1,0,1,1700,1300,0,1500,3.0,6.5,1,230
"Simon Fraser University",Canada,Burnaby,23000,40000,59.00,1,1,0,1,1800,1400,0,1600,3.0,6.5,1,298
"Dalhousie University",Canada,Halifax,20000,36000,73.00,1,1,0,1,1900,1500,0,1700,2.8,6.0,1,308
"University of Manitoba",Canada,Winnipeg,18000,32000,76.00,1,1,0,1,2000,1600,0,1800,2.7,6.0,1,601
"University of Saskatchewan",Canada,Saskatoon,17000,30000,78.00,1,1,0,1,2100,1700,0,1900,2.6,6.0,1,601
"Memorial University",Canada,"St. John's",16000,28000,80.00,1,1,0,1,2200,1800,0,2000,2.5,5.5,1,701
"University of Windsor",Canada,Windsor,19000,34000,77.00,1,1,0,1,2000,1600,0,1800,2.7,6.0,1,651
"Carleton University",Canada,Ottawa,21000,37000,72.00,1,1,0,1,1900,1500,0,1700,2.8,6.0,1,601
"University of Victoria",Canada,Victoria,22000,39000,63.00,1,1,0,1,1800,1400,0,1600,2.9,6.5,1,370
"University of Calgary",Canada,Calgary,23000,41000,60.00,1,1,0,1,1700,1300,0,1500,3.0,6.5,1,235
"Lakehead University",Canada,"Thunder Bay",17000,29000,79.00,1,1,0,1,2100,1700,0,1900,2.6,6.0,1,801
"Brock University",Canada,"St. Catharines",18000,31000,78.00,1,1,0,1,2100,1700,0,1900,2.7,6.0,1,801
"University of Regina",Canada,Regina,17000,29000,80.00,1,1,0,1,2200,1800,0,2000,2.6,5.5,1,801
